Joint_1_Position,Joint_1_Velocity,Joint_1_Effort,Joint_2_Position,Joint_2_Velocity,Joint_2_Effort,Joint_3_Position,Joint_3_Velocity,Joint_3_Effort,Joint_4_Position,Joint_4_Velocity,Joint_4_Effort,Joint_5_Position,Joint_5_Velocity,Joint_5_Effort,Joint_6_Position,Joint_6_Velocity,Joint_6_Effort,Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
0.9653823746664862,-0.0106462886900612,16.41949338004224,-3.3338525441680105,0.0063402520020064,58.5810802794966,3.026519720755884,-0.0098202995485939,-1.0671250121773987,-2.2707981239445667,0.0181742705817349,2.666393731581946,-4.997297686439952,-0.0041595032780525,-0.7244502682732356,5.668595660392518,-0.0113758552474968,0.0083547109347348,-1.2713031523196625,3.22639702940602,7.749886861745598,-0.1236168762740272,-0.0409703712048875,-0.0076793832479374
0.9651308866544834,-0.0093859322470796,16.406013130807413,-3.33371229339112,0.0039271413078789,58.69978588844724,3.026275511240671,-0.0107844290284471,-0.8319970851639441,-2.270360632620396,0.0183021242741294,2.654260626512602,-4.997371849943653,0.0005025494016489,-0.7015289879959439,5.6683429943327495,-0.0078345695445511,0.0076652407044577,-1.2336601695392178,3.1085374068333813,7.74779711154399,-0.1149068005860612,-0.0384455019776839,-0.0071038720249938
0.9649160685896324,-0.0083095659396214,16.396363322368927,-3.33359076488248,0.0033441758958327,58.67332550198004,3.02606588831647,-0.009842143654361,-0.7491614443534791,-2.269985889806194,0.0165452719021912,2.643989453470973,-4.997442337555994,0.0006671801290069,-0.678957226889119,5.668131718871817,-0.0065138161207608,0.0070753084694592,-1.1967906424416266,2.9935661788747545,7.745750836636184,-0.1064100518793666,-0.0359651040033233,-0.0065353128594968
0.9647267022240325,-0.0072646989047775,16.386763912427995,-3.3334830575158705,0.002777432564304,58.647323718399385,3.025878545259433,-0.0089242599245627,-0.668671673255846,-2.2696527006716423,0.014835991669079,2.633976260590396,-4.997508788073231,0.0008328772584651,-0.65694142026512,5.66795160372114,-0.0052376452842394,0.006492113561202,-1.1607887533666488,2.881759302135813,7.74374699610935,-0.0981464161277377,-0.0335358366391069,-0.0059751670634194
0.9645555114374832,-0.0064871851831836,16.37446197083779,-3.333384024191817,0.0047377720114295,58.99192135650645,3.025707576298412,-0.0052961398906416,-0.188950517546503,-2.2693500649835823,0.0098097634961999,2.6209660348178048,-4.997576256122136,-0.0050714593535048,-0.6408917641158617,5.667794720724653,-0.0068163433129378,0.0056648651793492,-1.125748965459311,2.773398210970455,7.741784681297625,-0.090136055006616,-0.0311643906274116,-0.005424907180072
0.9644155913843484,-0.0055142780719439,16.36508142171393,-3.3333032283474004,0.0042068184743916,58.966857108027774,3.025563770596968,-0.0044367766846682,-0.114190866311313,-2.269097909830656,0.0082118240744853,2.611563345128169,-4.997634416084619,-0.0049001813840454,-0.6201717714456714,5.667674687116041,-0.0056406095714187,0.0051000504470596,-1.0917659054197046,2.668769832507651,7.739863138422386,-0.0823995068025749,-0.0288574801016343,-0.0048860151450865
0.9642985261212722,-0.0045809751761007,16.35585980442077,-3.3332349031202586,0.0036965831096314,58.9425384733964,3.025440225422189,-0.0036083528250348,-0.0423921005281912,-2.268883375286137,0.0066740378906486,2.602500478148224,-4.997688504758997,-0.0047289440634413,-0.6001716690538861,5.6675821842669984,-0.0045196686641386,0.0045464639884829,-1.0589342554815742,2.56816659980304,7.7379817907835795,-0.0749576871514297,-0.0266218352387315,-0.0043599805533455
0.9641998444999283,-0.0034868298433009,16.352221263126978,-3.3331760931411765,0.0024415415293668,58.40169895697585,3.025332649505714,-0.0035178992816634,-0.5146127252926262,-2.2686985202921504,0.0064411708048931,2.597515228805792,-4.997741474241356,-0.0029521961377566,-0.5728194099335874,5.6675131783534285,-0.0026768661301847,0.0042808191653413,-1.0273486556559055,2.471886462093549,7.736140259531757,-0.0678318897020244,-0.0244641956516033,-0.0038482990588593
0.9641263130685118,-0.0026431268585354,16.343433279995075,-3.333131595123376,0.0019785173759491,58.379417683675335,3.025248007895508,-0.0027595057753593,-0.4492894150844331,-2.268556023639034,0.0050395198298431,2.5892331064518825,-4.997787256206284,-0.0027825645965316,-0.5544662286286329,5.667472581258759,-0.0016787262824137,0.0037547369639549,-0.9971036180900292,2.3802328927500085,7.734338383240357,-0.0610437865632967,-0.0223913046419859,-0.0033524709186289
0.9640707251627774,-0.0017096675591626,16.33119840627273,-3.333098149285941,-0.0002555678131464,58.50312581199376,3.0251771338520648,-0.0039664432227321,-0.2394919597991891,-2.268440602687201,0.0056538423467484,2.579876923604816,-4.997827127392844,0.0018573762046732,-0.5374164289528325,5.667456536780129,0.0014084113811552,0.0031544795296116,-0.9682934548266274,2.2935148943143178,7.732576235756205,-0.0546154286077573,-0.0204099043725334,-0.0028739997139119
0.964036052586362,-0.0009673665245749,16.3230189846183,-3.333075029908386,-0.0006648682161127,58.48290835817761,3.0251276928684288,-0.0032878366447693,-0.1819707793895344,-2.268362986047862,0.0044071718971955,2.5724991732093216,-4.997864653945988,0.0020238392992163,-0.5209447709973586,5.6674614753327015,0.0022689945413817,0.0026622534135854,-0.9410122204943716,2.2120470004751662,7.730854142019977,-0.0485692455966765,-0.0185267321396333,-0.0024143912606305
0.9640185295992812,-0.0002790660658392,16.31519726879519,-3.3330613937106204,-0.0010458846078073,58.46387859428548,3.0250939919475712,-0.0026524848074916,-0.1285880392828685,-2.268314253548521,0.0032436965491854,2.565610306243747,-4.997898169985791,0.0021893735748505,-0.5054846768294722,5.667486171873724,0.0030568721192807,0.002188886750317,-0.9153536718490723,2.136149275291391,7.729172692242384,-0.0429280461057268,-0.0167485177766834,-0.0019751527410081
0.9640168500171624,6.435775662283071e-05,16.303655907745583,-3.3330553882525003,0.0011329412606189,58.82269183068412,3.02507559559635,0.0006406717995853,0.3055436363905859,-2.268293507842273,-0.0011618962620633,2.5563600133096287,-4.997931351638283,-0.0036686049235154,-0.4967788007743044,5.667529765566477,0.0009366138759938,0.0014770966488901,-0.8900120104492883,2.0881824794240664,7.723494533951487,-0.0385890056849466,-0.014883959768443,-0.0015299140997257
