Time,Joint Name,Position,Velocity,Effort,Acceleration
162.683,ur5_elbow_joint,0.776169479275989,0.0003366594629169,-21.729847226824027,0.013466378516676
162.708,ur5_elbow_joint,0.7761694490756019,-3.0369456292888812e-05,-21.743379414618374,-0.0012147782517155524
162.732,ur5_elbow_joint,0.7761694492436506,-3.0369442962306287e-05,-21.743379748944957,-0.0012147777184922514
162.757,ur5_elbow_joint,0.7761691431392839,-0.0003062666620182,-21.735978773824087,-0.012250666480728
162.781,ur5_elbow_joint,0.7761691433073894,-0.0003062665892267,-21.735979110159096,-0.012250663569068
162.805,ur5_elbow_joint,0.7761691434754887,-0.0003062665161912,-21.735979446480275,-0.012250660647648
162.83,ur5_elbow_joint,0.7761694803054775,0.0003366584623147,-21.72984929733341,0.013466338492588
162.854,ur5_elbow_joint,0.7761694804734747,0.0003366583751212,-21.729849634956608,0.013466335004847998
162.879,ur5_elbow_joint,0.7761694502720013,-3.037049021774771e-05,-21.74338178773385,-0.0012148196087099084
162.903,ur5_elbow_joint,0.7761694504399959,-3.037047695144317e-05,-21.74338212195469,-0.0012148190780577267
162.927,ur5_elbow_joint,0.7761694506079841,-3.037046368994504e-05,-21.74338245616449,-0.0012148185475978016
162.952,ur5_elbow_joint,0.7761691445041201,-0.0003062661001967,-21.73598148196369,-0.012250644007867998
162.976,ur5_elbow_joint,0.7761691446721661,-0.0003062660273623,-21.735981818180047,-0.012250641094491999
163.001,ur5_elbow_joint,0.776169481501948,0.0003366583088216,-21.729851700362627,0.013466332352864
163.025,ur5_elbow_joint,0.7761694816698927,0.000336658222021,-21.72985203788046,0.01346632888084
163.049,ur5_elbow_joint,0.7761694818378295,0.0003366581350525,-21.729852375384503,0.013466325402099999
163.074,ur5_elbow_joint,0.7761694516375321,-3.0369253578896796e-05,-21.743384511513483,-0.0012147701431558717
163.098,ur5_elbow_joint,0.7761694518054689,-3.0369240346245327e-05,-21.74338484561533,-0.001214769613849813
163.122,ur5_elbow_joint,0.7761694519733968,-3.036922686560106e-05,-21.743385179708977,-0.0012147690746240423
163.147,ur5_elbow_joint,0.7761691458700941,-0.0003062654780123,-21.735984237402374,-0.012250619120491999
163.171,ur5_elbow_joint,0.7761691460380788,-0.0003062654048045,-21.735984573492317,-0.012250616192179998
163.197,ur5_elbow_joint,0.7761694828666279,0.0003366571347127,-21.729854444505744,0.013466285388508
163.22,ur5_elbow_joint,0.7761694830345123,0.0003366570476381,-21.7298547819068,0.013466281905523998
163.244,ur5_elbow_joint,0.7761694832023895,0.0003366569606402,-21.729855119296804,0.013466278425607998
163.269,ur5_elbow_joint,0.7761694530010113,-3.037027415880397e-05,-21.743387217022207,-0.0012148109663521589
163.293,ur5_elbow_joint,0.7761694531688867,-3.0370261134504346e-05,-21.74338755101009,-0.0012148104453801737
163.318,ur5_elbow_joint,0.7761691470660201,-0.0003062649893659,-21.735986607594224,-0.012250599574636
163.342,ur5_elbow_joint,0.7761691472339551,-0.0003062649166871,-21.735986943582155,-0.012250596667483998
163.366,ur5_elbow_joint,0.7761691474018795,-0.000306264843689,-21.735987279556085,-0.012250593747559999
163.391,ur5_elbow_joint,0.7761694842301283,0.0003366568943376,-21.72985718322065,0.013466275773504
163.415,ur5_elbow_joint,0.7761694843979523,0.0003366568076254,-21.729857520498395,0.013466272305016
163.44,ur5_elbow_joint,0.7761694541977446,-3.0369050937799084e-05,-21.743389604992867,-0.0012147620375119632
163.464,ur5_elbow_joint,0.7761694543655686,-3.0369037724039028e-05,-21.743389938868287,-0.001214761508961561
163.488,ur5_elbow_joint,0.7761694545333846,-3.036902417620625e-05,-21.743390272737315,-0.00121476096704825
163.513,ur5_elbow_joint,0.7761691484310793,-0.0003062643676882,-21.73598936120339,-0.012250574707527998
163.537,ur5_elbow_joint,0.776169148598953,-0.0003062642949603,-21.735989697066124,-0.012250571798412
163.561,ur5_elbow_joint,0.7761691487668188,-0.0003062642219999,-21.73599003291992,-0.012250568879996
163.586,ur5_elbow_joint,0.776169485593833,0.00033665572071,-21.72985992541254,0.013466228828399998
163.61,ur5_elbow_joint,0.7761694857615966,0.0003366556336195,-21.72986026257095,0.01346622534478
163.635,ur5_elbow_joint,0.7761694555603089,-3.0370071954184905e-05,-21.74339230868644,-0.001214802878167396
163.659,ur5_elbow_joint,0.7761694557280707,-3.0370058326033628e-05,-21.743392642444185,-0.001214802333041345
163.683,ur5_elbow_joint,0.7761694558958263,-3.0370045241233024e-05,-21.74339297618536,-0.0012148018096493208
163.708,ur5_elbow_joint,0.7761691497940246,-0.000306263806624,-21.73599206555239,-0.01225055226496
163.732,ur5_elbow_joint,0.7761691499618371,-0.0003062637339327,-21.73599240129992,-0.012250549357308
163.757,ur5_elbow_joint,0.7761694867886471,0.0003366555681899,-21.729862325109405,0.013466222727596
163.781,ur5_elbow_joint,0.77616948695636,0.0003366554815592,-21.72986266216005,0.013466219262368
163.805,ur5_elbow_joint,0.7761694871240641,0.0003366553942596,-21.729862999197447,0.013466215770384
163.83,ur5_elbow_joint,0.7761694569239532,-3.0368835277697247e-05,-21.743395028710957,-0.0012147534111078898
163.854,ur5_elbow_joint,0.7761694570916555,-3.036882198806541e-05,-21.743395362352217,-0.0012147528795226163
163.879,ur5_elbow_joint,0.7761691509903486,-0.0003062632580861,-21.735994481570813,-0.012250530323444
163.903,ur5_elbow_joint,0.7761691511581095,-0.0003062631853789,-21.73599481721637,-0.012250527415155999
163.927,ur5_elbow_joint,0.7761691513258642,-0.0003062631125776,-21.735995152837692,-0.012250524503104
