Actual Effort Joint 1,Actual Effort Joint 2,Actual Effort Joint 3,Actual Effort Joint 4,Actual Effort Joint 5,Actual Effort Joint 6,Predicted Effort Joint 1,Predicted Effort Joint 2,Predicted Effort Joint 3,Predicted Effort Joint 4,Predicted Effort Joint 5,Predicted Effort Joint 6,Variance
0.0191322153564682,-2.807668111589198,-0.1583386545024209,-0.0002987763928185,-21.996817528501648,-50.99728047751315,0.016447888272523414,-2.8076077042187535,-0.15875330095923346,-0.00047126088975346647,-21.99548735202916,-51.05332458004705,7.332103363095051e-05
0.0599620239669451,-2.515114762642751,0.0257949503547599,0.0354732898442861,-21.704323618065978,-46.392690262869245,0.49296312468868564,-2.6606143479571074,0.006906064562826941,0.057889768414497667,-21.661067406037546,-46.96215526945889,0.02825191177971104
4.6804109629846665e-05,-21.31338492164595,-56.414383429505726,-0.0002467832716606,-2.6546379199523025,0.2551545263130565,-0.00016122529450512957,-21.313663594512036,-56.41418740749941,0.00021404970902949572,-2.6546035350620514,0.2551580646027105,7.181912758963811e-05
0.0048241787798665,-21.31183328915774,-56.41582526963628,0.003055642619173,-2.6519241023570927,0.2574470840062554,0.001703785392237478,-21.30766768280955,-56.41277915504179,0.004714691865956411,-2.65354349899917,0.2583892561046923,8.523687780010299e-05
-0.0004654194248364,-2.654398028892037,0.2551315944348996,0.0002367319033218,-21.313161822971807,-56.4143474500986,-0.0010935095342574641,-2.654409672581096,0.255205480371842,0.0005257182856439613,-21.312996829514304,-56.4154242616205,7.21147835409149e-05
3.090994455347668,-0.2387695733088716,-24.82450927586569,-44.436681107080574,10.24173141361089,-4.814181464223712,3.0925442595047627,-0.23838461620904638,-24.81245715848027,-44.50390144868754,10.191178814519844,-4.814101071855305,0.0009732114839155522
0.755019390073731,-2.927112996634605,0.3108747666677767,-16.19494175084477,-39.65991838933823,-7.526909531821378,0.8334512374927394,-2.9002147843547648,0.3200030529866742,-15.899429849610538,-39.2280698156672,-7.658020899570744,2.9950869112271676
-0.0002433709690146,-2.654652494896287,0.2551563068303634,4.368063918613089e-05,-21.313399360209925,-56.41439393099432,0.00032497241045348346,-2.6546372758475627,0.255100793137899,-0.0002283968542542425,-21.31359536428863,-56.41343040566426,7.204698633839619e-05
-56.41435355662082,-0.0002529985885374,-2.654599382297428,0.2551497220009095,5.251963975808965e-05,-21.313348371067107,-56.41454285962391,-0.0008927048693294637,-2.654682586117815,0.25522002663819876,0.00053587971979141,-21.314279704158253,7.186661671338264e-05
-0.0002567302123242,-2.6545996869497137,0.2551496795440651,5.509097798904321e-05,-21.31334877419596,-56.41435825161888,-0.000754750071791932,-2.6546188585016353,0.25518791600188706,0.00023926185713207815,-21.31326949151662,-56.415014174970565,7.183915477665799e-05
0.0191301607228923,-2.807660201238553,-0.1583384081279758,-0.0002971915182935,-21.98872980919918,-51.11609523349088,0.017104912643844727,-2.8077897237362777,-0.15860804699741493,-0.00035368387898415676,-21.98849736320335,-51.070317994832294,7.304391167534525e-05
-2.806973687033711,-0.1636610357109534,0.0002655814752493,-21.996795030278147,-50.99726009315312,-0.0170998427582144,-2.80785301018841,-0.1632352177912253,0.00032233174715656787,-21.99513737831421,-51.03228598849091,-0.006389399983163457,7.296327442557889e-05
7.379870452973078,-0.5268304927752296,1.7436839592455244,0.0860233839410749,-15.275084579381396,-40.63048790318369,7.387170096727743,-0.5275613232362844,1.7413427299800617,0.08625069965072107,-15.276642524354884,-40.59176752604981,0.0002451868304606571
-50.99728349938822,-0.0171035784816029,-2.806996890665355,-0.163662051504633,0.0002608503164525,-21.992975535458392,-51.010727447253885,-0.012365652713924646,-2.8070474939158885,-0.16312486223432643,6.570900222868659e-05,-22.00719081114221,7.311747729116654e-05
-0.0026809056255249,-2.8071830574480603,-0.1624491128543768,7.894081023316078e-05,-21.99296171139854,-51.04098470313991,-0.005563339014770463,-2.8070382508094553,-0.16279913413700342,5.702215275960043e-05,-21.99180297518069,-51.039893382025184,7.373970289021166e-05
-18.212880714040992,-49.92550882527399,4.689257739179277,-1.683660863855677,1.23371332211073,0.1019069251468961,-18.159150752771655,-49.75540985623695,4.647666854067211,-1.6797204037268383,1.2322461837590346,0.10010313726298836,0.012558684165077497
1.4725931624040018,0.1327722156743518,-16.79939591150406,-40.8317176447249,4.509258856175596,-0.7513217813865926,1.4829450677312934,0.10986609564415062,-16.847899657301582,-40.998340757574624,4.540015827747084,-0.7691561300907495,0.1228068176762977
-26.84264249354544,-59.19238584186937,0.7305590407469682,-4.041653927324507,-0.4361218387894778,0.0015667165387341,-27.649688668935596,-61.447390559404084,1.3677874155437166,-4.12169881675004,-0.375661063097823,0.042795892677759184,0.349104553216853
5.746837013667146,-1.3940836190275765,1.4206618605977603,0.0690271841681776,-17.917081334846987,-51.49234718983906,5.7943128524587415,-1.3974513843506733,1.4244444843030162,0.0702689327317958,-17.867482039811513,-51.38124368472775,0.020267032013981893
-33.46187848970527,-70.32417872929004,1.456455971480881,-5.244658956497046,-0.5583716788759047,-0.0261926683403018,-33.12225924528134,-71.02629191752965,0.40244394297212693,-5.170667363768171,-0.48408222081540586,-0.02160094005719415,2.759707657827056
4.229553661823882e-05,-21.31340604482382,-56.41439887795661,-0.0002417190968903,-2.6546598874172664,0.2551572043705956,-0.00044449894994613715,-21.313917342678906,-56.41397329219035,0.0007505004468839616,-2.6546193041422157,0.25518252510028105,7.213978506709757e-05
