Time,Joint Name,Position,Velocity,Acceleration,Effort
127.562,ur5_elbow_joint,0.8206923318116246,8.122728266348496e-09,3.2490913065393986e-07,-21.46413413999516
127.562,ur5_shoulder_lift_joint,-0.6805388790040903,-5.43302494578921e-07,-2.2057008913810776e-05,-54.88788876569121
127.562,ur5_shoulder_pan_joint,0.0213873985933492,1.409008920464063e-10,2.1737735818838696e-05,-0.0001308107041841
127.562,ur5_wrist_1_joint,-1.7247009244394196,-7.926875712482845e-06,-0.00031708066453499563,-2.4666937861010454
127.562,ur5_wrist_2_joint,-1.560501498203032,1.1536043964954081e-07,0.0003216894460852954,0.0173215929925058
127.562,ur5_wrist_3_joint,0.0580406826286825,1.4320606556402065e-05,0.000568209844670101,2.6178833427352e-06
127.586,ur5_elbow_joint,0.8206923320121406,7.926413958008402e-09,3.1705655832033607e-07,-21.464134545293167
127.586,ur5_shoulder_lift_joint,-0.6805388925766325,-5.42531642782286e-07,-2.2018322269611772e-05,-54.88788862171112
127.586,ur5_shoulder_pan_joint,0.021387398594137,-6.959218178287815e-11,2.1698482024020123e-05,-0.0001308541614607
127.586,ur5_wrist_1_joint,-1.7247011226121671,-7.926941334840892e-06,-0.00031707486970636436,-2.466694149840449
127.586,ur5_wrist_2_joint,-1.5605014953678786,1.1160198648040721e-07,0.0003215417328528519,0.0173215921536432
127.586,ur5_wrist_3_joint,0.0580410402122346,1.4287420034432351e-05,0.0005670327219180777,2.6067556506002736e-06
127.61,ur5_elbow_joint,0.8206923322046986,7.925007107726112e-09,3.170002843090445e-07,-21.464134930384315
127.61,ur5_shoulder_lift_joint,-0.6805389056066096,-5.425303178135713e-07,-2.2018212996851895e-05,-54.88788863496818
127.61,ur5_shoulder_pan_joint,0.0213873985949959,-6.962031415205665e-11,2.1698427899976768e-05,-0.0001308550531128
127.61,ur5_wrist_1_joint,-1.7247013128485609,-7.926564798530236e-06,-0.00031705980712864334,-2.4666944984327697
127.61,ur5_wrist_2_joint,-1.5605014926444696,1.1159654961680566e-07,0.0003215264539258817,0.0173215958534434
127.61,ur5_wrist_3_joint,0.0580413826475973,1.4253030808838142e-05,0.0005656573703688534,2.5958257854011866e-06
127.635,ur5_elbow_joint,0.820692332405347,8.118845735537724e-09,3.2475382942150897e-07,-21.46413532736851
127.635,ur5_shoulder_lift_joint,-0.6805389191798552,-5.432984250384932e-07,-2.2056690830961233e-05,-54.88788880640384
127.635,ur5_shoulder_pan_joint,0.0213873985959942,1.4079347225847523e-10,2.1737568740430065e-05,-0.0001308134675268
127.635,ur5_wrist_1_joint,-1.7247015110016315,-7.925714764861752e-06,-0.0003170342223333604,-2.4666948609273844
127.635,ur5_wrist_2_joint,-1.5605014898058496,1.1534327940014148e-07,0.0003216423217704757,0.0173216043992446
127.635,ur5_wrist_3_joint,0.0580417384732259,1.4214572763045114e-05,0.0005639691793457988,2.5841828471434576e-06
127.659,ur5_elbow_joint,0.8206923325978464,8.117739520231384e-09,3.2470958080925534e-07,-21.46413571234474
127.659,ur5_shoulder_lift_joint,-0.6805389322097701,-5.432972424589947e-07,-2.205659927916904e-05,-54.88788881958811
127.659,ur5_shoulder_pan_joint,0.0213873985968495,1.4076799186655703e-10,2.1737520418034447e-05,-0.0001308143512201
127.659,ur5_wrist_1_joint,-1.7247017012195762,-7.925338344839074e-06,-0.00031701916451323754,-2.4666952094239747
127.659,ur5_wrist_2_joint,-1.560501487082714,1.1533725570357429e-07,0.0003216270240217059,0.0173216081033187
127.659,ur5_wrist_3_joint,0.0580420792277376,1.4180352270444445e-05,0.0005626006005896348,2.573307342723647e-06
127.683,ur5_elbow_joint,0.8206923327903164,8.116592847748711e-09,3.2466371390994846e-07,-21.46413609726504
127.683,ur5_shoulder_lift_joint,-0.6805389452396549,-5.432960310780666e-07,-2.2056504957032612e-05,-54.88788883278112
127.683,ur5_shoulder_pan_joint,0.0213873985977048,1.4064191396269488e-10,2.173746691968117e-05,-0.0001308152303026
127.683,ur5_wrist_1_joint,-1.7247018914284826,-7.92496181762551e-06,-0.0003170040983815789,-2.466695557873491
127.683,ur5_wrist_2_joint,-1.5605014843597145,1.1533188642067269e-07,0.0003216117481618473,0.0173216118090343
127.683,ur5_wrist_3_joint,0.0580424191619881,1.414621418922588e-05,0.0005612352921122082,2.5624583653996946e-06
127.708,ur5_elbow_joint,0.8206923329906779,7.920332016176762e-09,3.1681328064707047e-07,-21.464136502253996
127.708,ur5_shoulder_lift_joint,-0.6805389588120354,-5.425252582373283e-07,-2.20178236101402e-05,-54.887888688795385
127.708,ur5_shoulder_pan_joint,0.0213873985984882,-6.981701485871344e-11,2.169821764889878e-05,-0.0001308586694048
127.708,ur5_wrist_1_joint,-1.7247020895533804,-7.925027479242768e-06,-0.00031699830648911634,-2.4666959213643573
127.708,ur5_wrist_2_joint,-1.5605014815252751,1.1157362413273765e-07,0.0003214640441350202,0.0173216109806193
127.708,ur5_wrist_3_joint,0.0580427723914178,1.4113464919901333e-05,0.0005600756518307437,2.551471491240821e-06
127.732,ur5_elbow_joint,0.8206923331830884,7.91914464690336e-09,3.167657858761344e-07,-21.464136887053684
127.732,ur5_shoulder_lift_joint,-0.680538971841858,-5.42523918186633e-07,-2.2017722513341452e-05,-54.88788870195215
127.732,ur5_shoulder_pan_joint,0.0213873985993426,-6.978582435821577e-11,2.169816529449099e-05,-0.0001308595369269
127.732,ur5_wrist_1_joint,-1.7247022797438394,-7.924651184511879e-06,-0.0003169832559475008,-2.466696269717887
