Time,Joint Name,Position,Velocity,Acceleration,Effort
199.903,ur5_elbow_joint,0.8266787716483313,0.0001923667298012,0.007694669192047999,-21.988689554354643
199.903,ur5_shoulder_lift_joint,-0.8288474110142481,-0.0002672451817576,-0.018384476462351997,-51.11607413860654
199.903,ur5_shoulder_pan_joint,-0.0985872288179683,8.39024971996782e-05,0.014045907158291128,0.0191204118085912
199.903,ur5_wrist_1_joint,-1.840379999210932,-0.0002658114655594,-0.013988558510363128,-2.807625938973528
199.903,ur5_wrist_2_joint,-1.6696610987520533,0.0019354966859114,0.08805232605883201,-0.1583373649145097
199.903,ur5_wrist_3_joint,0.0170287954550873,-0.0023083731530736,-0.1697547935594,-0.0002894810224506
199.927,ur5_elbow_joint,0.8266787718517197,0.0001923664822216,0.007694659288863999,-21.98868996520004
199.927,ur5_shoulder_lift_joint,-0.8288474109866764,-0.0002672448305088,-0.018384452509216,-51.11607434544428
199.927,ur5_shoulder_pan_joint,-0.0985872288097065,8.390290018649097e-05,0.014045909227811638,0.0191205180008975
199.927,ur5_wrist_1_joint,-1.8403802657166295,-0.0002658112760141,-0.013988567048023638,-2.8076262872985707
199.927,ur5_wrist_2_joint,-1.6696611127237926,0.0019354985185487,0.088052391782512,-0.1583373751393083
199.927,ur5_wrist_3_joint,0.017031430787485,-0.0023086417975148,-0.16976561264254,-0.0002895665190331
199.952,ur5_elbow_joint,0.8266787720987541,4.3416263297593695e-08,1.7366505319037478e-06,-21.996770105252747
199.952,ur5_shoulder_lift_joint,-0.8288474572876376,-4.632659164791875e-05,-0.0018548003164486537,-50.99723822992967
199.952,ur5_shoulder_pan_joint,-0.0985872172032058,1.1599787381678989e-05,0.0023170551611839097,-0.0170960259076909
199.952,ur5_wrist_1_joint,-1.8403805809168947,-4.8706883735783416e-05,-0.002412266844698496,-2.8069522786391534
199.952,ur5_wrist_2_joint,-1.669660644779956,0.0004819170445869,0.021224957132907334,-0.1636600903257977
199.952,ur5_wrist_3_joint,0.0170336460409297,-0.0004137597634527,-0.035827072321584,0.0002705083303718
199.976,ur5_elbow_joint,0.8266787723018263,4.3462854985268536e-08,1.7385141994107414e-06,-21.99677050633157
199.976,ur5_shoulder_lift_joint,-0.8288474572600855,-4.632661541135445e-05,-0.0018548031306535886,-50.997238575719656
199.976,ur5_shoulder_pan_joint,-0.098587217194856,1.1599824452830149e-05,0.002317057594567384,-0.0170960892554434
199.976,ur5_wrist_1_joint,-1.840380847397632,-4.870653272506976e-05,-0.002412254287115996,-2.806952625489242
199.976,ur5_wrist_2_joint,-1.6696606587497254,0.0004819176901517,0.021224968915070787,-0.1636601056672957
199.976,ur5_wrist_3_joint,0.0170362684232232,-0.0004140240385286,-0.035837669147212,0.0002704242040568
200.001,ur5_elbow_joint,0.8266785801193022,-0.0001923830939279,-0.007695323757116,-21.992924550249985
200.001,ur5_shoulder_lift_joint,-0.8288471436500293,0.0003135736148332,0.020238268350444,-51.04095906366043
200.001,ur5_shoulder_pan_joint,-0.098587312682091,-9.55029365292372e-05,-0.016363062054497488,-0.0026816950571442
200.001,ur5_wrist_1_joint,-1.8403808326573283,0.000281208692456,0.015068465159409489,-2.807151289133037
200.001,ur5_wrist_2_joint,-1.6696630918762834,-0.0024191691391523,-0.108015113264332,-0.1624477860066147
200.001,ur5_wrist_3_joint,0.0170419346764463,0.0030503614010069,0.218781221606368,8.605260404208234e-05
200.025,ur5_elbow_joint,0.8266785803221222,-0.0001923829186052,-0.007695316744208,-21.992924956456985
200.025,ur5_shoulder_lift_joint,-0.828847143622812,0.0003135732884403,0.020238248281819998,-51.04095933433574
200.025,ur5_shoulder_pan_joint,-0.0985873126741374,-9.55033705572902e-05,-0.016363066359903606,-0.0026816857888744
200.025,ur5_wrist_1_joint,-1.840381099112557,0.0002812096865529,0.015068522284407608,-2.807151635524507
200.025,ur5_wrist_2_joint,-1.6696631058471008,-0.0024191715146151,-0.10801524804672,-0.1624478004670842
200.025,ur5_wrist_3_joint,0.0170445441877449,0.0030501036833482,0.21877100791853196,8.596863127226936e-05
200.049,ur5_elbow_joint,0.8266785805247219,-0.0001923827433214,-0.007695309732856,-21.992925362220102
200.049,ur5_shoulder_lift_joint,-0.8288471435956026,0.0003135729622459,0.020238228222691997,-51.0409596049071
200.049,ur5_shoulder_pan_joint,-0.0985873126661713,-9.550380395160169e-05,-0.016363070647900067,-0.0026816764880693
200.049,ur5_wrist_1_joint,-1.8403813655555217,0.0002812106801863,0.015068579365516067,-2.8071519816542296
200.049,ur5_wrist_2_joint,-1.669663119817252,-0.0024191738847168,-0.108015382596124,-0.1624478149221631
200.049,ur5_wrist_3_joint,0.0170471474187898,0.0030498466463496,0.21876082124265597,8.588484259121385e-05
200.074,ur5_elbow_joint,0.8266787730931675,0.0001923647791747,0.0076945911669880004,-21.988692473542304
200.074,ur5_shoulder_lift_joint,-0.8288474108181161,-0.0002672426390656,-0.018384296729612,-51.116075560105024
200.074,ur5_shoulder_pan_joint,-0.0985872287583973,8.390556333659199e-05,0.01404592809608768,0.0191211640164924
200.074,ur5_wrist_1_joint,-1.8403818977959012,-0.0002658097099538,-0.013988610931615679,-2.8076284153107114
200.074,ur5_wrist_2_joint,-1.6696611982877236,0.0019355074948606,0.08805268819257599,-0.1583374406801617
200.074,ur5_wrist_3_joint,0.0170474342538096,-0.0023102733770995,-0.16983123487840399,-0.0002900848799497
200.098,ur5_elbow_joint,0.8266787732950922,0.0001923645316906,0.007694581267624,-21.98869288140625
