Time,Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
319.027,1.442820173977638,-0.5180968721122221,7.964434423048269,0.007799181580912163,0.021837267626502028,-6.252460987000801e-05
319.045,1.4428223757687506,-0.5181036344636929,7.964433765818589,0.007799283983657301,0.021837338332026005,-6.236906789966489e-05
319.069,1.442824580743277,-0.5181103802753254,7.964433108655052,0.007799386136312546,0.02183740899319949,-6.221390051599628e-05
319.093,1.4428267888999273,-0.5181171095611781,7.964432451475376,0.0077994880401839935,0.02183747961105467,-6.205910762632446e-05
319.117,1.4428290002448292,-0.5181238224064809,7.964431794289565,0.007799589692660212,0.02183755018506776,-6.190468787981018e-05
319.141,1.442831214748084,-0.5181305188079661,7.964431137179374,0.007799691102245924,0.021837620715126,-6.175064099018883e-05
319.165,1.4428334324195067,-0.518137198832203,7.964430480031067,0.007799792257787061,0.021837691202852057,-6.159696527551373e-05
319.189,1.4428356532473643,-0.5181438625185845,7.964429822928756,0.007799893165945275,0.02183776164617586,-6.144365954843388e-05
319.213,1.44283787721659,-0.5181505098953152,7.964429165836621,0.007799993835236068,0.021837832046794636,-6.129072436852456e-05
319.237,1.4428401043440529,-0.5181571410012842,7.964428508776552,0.0078000942523271735,0.021837902404081,-6.113815766894764e-05
319.261,1.4428423345722436,-0.5181637558755038,7.96442785169505,0.007800194427325519,0.021837972717948843,-6.0985958988524604e-05
319.285,1.4428445679441506,-0.5181703545753022,7.964427194654167,0.007800294353463924,0.021838042989728395,-6.083412711772949e-05
319.309,1.4428468044148188,-0.5181769371100734,7.9644265376043295,0.0078003940393116655,0.02183811321798437,-6.0682661954762e-05
319.333,1.4428490440058122,-0.518183503545524,7.964425880580149,0.007800493479244479,0.02183818340388098,-6.053156197094586e-05
319.357,1.4428512866901713,-0.5181900539098243,7.9644252236473445,0.007800592678979273,0.021838253546450657,-6.03808257092402e-05
319.381,1.4428535324713456,-0.5181965882350145,7.964424566639381,0.007800691635997458,0.021838323647474275,-6.0230453885367426e-05
319.405,1.4428557813495257,-0.5182031065643277,7.964423909664346,0.007800790347893766,0.02183839370556321,-6.008044397166207e-05
319.429,1.442858033283975,-0.5182096089452027,7.964423252728224,0.007800888820130235,0.02183846372139913,-5.993079650995774e-05
319.453,1.44286028829459,-0.5182160954031058,7.964422595735766,0.00780098705085622,0.0218385336948876,-5.978150913045293e-05
319.477,1.4428625464022597,-0.5182225659907825,7.964421938797603,0.007801085041997573,0.021838603626926512,-5.963258230061528e-05
319.501,1.4428648075271073,-0.518229020720791,7.9644212819258176,0.0078011827954719065,0.021838673516121697,-5.948401434802803e-05
319.525,1.4428670716883543,-0.5182354596636571,7.964420625052986,0.007801280309529196,0.021838743363074575,-5.93358052051263e-05
319.549,1.4428693389176896,-0.5182418828444229,7.9644199681379195,0.00780137758133751,0.02183881316942606,-5.91879526828568e-05
319.572,1.4428716092038067,-0.518248290298701,7.964419311310686,0.007801474619410801,0.02183888293297543,-5.904045727460924e-05
319.597,1.4428738824465772,-0.5182546820474531,7.964418654484712,0.007801571420151436,0.02183895265514223,-5.889331769660792e-05
319.621,1.4428761587340535,-0.518261058152651,7.9644179976357155,0.007801667984763169,0.021839022335733656,-5.874653324948551e-05
319.645,1.442878438035013,-0.5182674186470876,7.964417340855054,0.007801764311118115,0.0218390919749421,-5.860010215902095e-05
319.669,1.4428807203463956,-0.5182737635718148,7.964416684028693,0.007801860399710009,0.021839161573169372,-5.84540239151189e-05
319.693,1.4428830056947242,-0.5182800929487684,7.964416027236324,0.007801956258567277,0.02183923113021844,-5.83082991127236e-05
319.717,1.442885293968701,-0.5182864068297454,7.964415370497093,0.0078020518831675,0.021839300645605388,-5.8162924951896816e-05
319.741,1.44288758522711,-0.5182927052412906,7.964414713771227,0.007802147271872355,0.02183937011967588,-5.801790174201759e-05
319.765,1.44288987947092,-0.5182989882355975,7.964414056994594,0.007802242425042777,0.021839439553170515,-5.787322806504044e-05
319.789,1.44289217666806,-0.5183052558381701,7.964413400301864,0.007802337346329762,0.02183950894599529,-5.7728903403727314e-05
319.813,1.442894476879014,-0.5183115080907278,7.964412743612024,0.007802432036333914,0.021839578298193378,-5.758492658898995e-05
319.837,1.4428967799785908,-0.5183177450149481,7.96441208690563,0.007802526501650373,0.02183964760901564,-5.7441297897871065e-05
319.861,1.442899086047724,-0.5183239666822987,7.964411430266013,0.00780262072797209,0.02183971687965718,-5.7298014920090234e-05
319.885,1.4429013950441345,-0.5183301730989323,7.964410773586148,0.007802714721281789,0.02183978610975931,-5.715507695622235e-05
319.909,1.4429037069703683,-0.5183363643067298,7.96441011698687,0.007802808492186719,0.021839855299254633,-5.701248515818365e-05
319.933,1.4429060218145435,-0.5183425403509365,7.9644094602901685,0.007802902029269624,0.021839924449284984,-5.687023618562877e-05
319.957,1.4429083395852282,-0.5183487012639807,7.964408803734736,0.007802995338398183,0.02183999355838859,-5.6728330645985665e-05
319.981,1.4429106602812374,-0.5183548470852762,7.964408147143094,0.00780308841733579,0.02184006262754547,-5.658676701449637e-05
320.005,1.4429129838575168,-0.5183609778400358,7.964407490605337,0.0078031812752024435,0.021840131656490337,-5.6445545189475073e-05
320.029,1.4429153103296657,-0.5183670935801532,7.9644068339976535,0.007803273899257138,0.021840200645811485,-5.630466412933786e-05
320.053,1.4429176396803438,-0.5183731943292387,7.964406177550538,0.007803366300336509,0.021840269594938937,-5.616412281220684e-05
320.077,1.4429199719166794,-0.5183792801264244,7.964405520972772,0.007803458473051624,0.02184033850479917,-5.602392015491438e-05
