Time,Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
127.562,0.10665524991970689,-0.08927672341441892,8.109031366524059,0.0012872469889307135,0.00153316695275615,-2.6621139103640575e-06
127.564,0.10665562718596791,-0.08927711653260086,8.1090315232684,0.0012872409271545012,0.00153316602796878,-2.659011767490447e-06
127.569,0.10665594985385411,-0.08927678698091254,8.109031354843914,0.0012872479285752833,0.0015331784809176569,-2.6575002730468757e-06
127.574,0.1066563270748179,-0.08927718008068472,8.10903151172602,0.0012872418681223786,0.0015331775548142299,-2.6544004683209585e-06
127.579,0.10665664973185608,-0.08927685051802256,8.109031343262405,0.0012872488725884088,0.0015331900070767646,-2.652891230205758e-06
127.584,0.10665702694218497,-0.08927724361972124,8.10903150009549,0.0012872428088970117,0.0015331890801059975,-2.6497937281336954e-06
127.589,0.10665734956610662,-0.08927691404924532,8.109031331661605,0.0012872498096225973,0.001533201531792137,-2.648286851022261e-06
127.594,0.10665772675485212,-0.08927730714254811,8.10903148848958,0.0012872437481257974,0.001533200604137059,-2.645191677001511e-06
127.599,0.10665804936063056,-0.08927697756000155,8.109031320108201,0.0012872507502050975,0.0015332130542855522,-2.64368712085043e-06
127.604,0.10665842656801489,-0.08927737064720287,8.10903147692346,0.0012872446886511156,0.0015332121262201974,-2.640594403719421e-06
127.609,0.10665874917030735,-0.08927704106118263,8.109031308425452,0.0012872516878274884,0.0015332245760309345,-2.6390921926691907e-06
127.614,0.10665912635434047,-0.08927743413771534,8.109031465284335,0.001287245629810931,0.0015332236467660246,-2.6360017681780246e-06
127.619,0.10665944891975505,-0.08927710454564315,8.109031296876957,0.001287252630020172,0.0015332360956482347,-2.634501809778388e-06
127.624,0.10665982609495125,-0.08927749761978959,8.109031453677911,0.0012872465694167565,0.0015332351654449101,-2.631413826979724e-06
127.629,0.10666014864595652,-0.08927716801444789,8.109031285220532,0.001287253567536919,0.001533247613814302,-2.6299161986150337e-06
127.634,0.10666052578224475,-0.08927756107449085,8.109031442056708,0.0012872475039434565,0.001533246682766195,-2.6268305435197067e-06
127.639,0.10666084830961034,-0.08927723145948098,8.109031273627973,0.001287254506355126,0.00153325912986765,-2.625335235535061e-06
127.644,0.10666122547120399,-0.08927762451646087,8.109031430475563,0.001287248444096018,0.0015332581987401363,-2.622251870530442e-06
127.649,0.10666154797971102,-0.0892772948904055,8.109031262036316,0.0012872554437406267,0.0015332706446396815,-2.6207588759572687e-06
127.654,0.1066619250993092,-0.08927768794414703,8.10903141885598,0.0012872493845272122,0.0015332697123183459,-2.6176778472004674e-06
127.659,0.10666224761859053,-0.0892773583098311,8.109031250413906,0.0012872563875620789,0.0015332821580277586,-2.616187233787628e-06
127.664,0.10666262470149739,-0.0892777513444909,8.109031407272468,0.0012872503252208966,0.0015332812247561892,-2.6131085805807256e-06
127.669,0.1066629471971696,-0.0892774217149051,8.109031238830706,0.0012872573231363289,0.0015332936697147648,-2.611620086331378e-06
127.674,0.10666332426720572,-0.0892778147539191,8.109031395681603,0.001287251259205677,0.0015332927351768071,-2.6085438031858846e-06
127.679,0.10666364675348831,-0.08927748510416215,8.109031227285605,0.001287258263716017,0.0015333051791893277,-2.6070577509353847e-06
127.684,0.1066640238317734,-0.08927787812933988,8.109031384042657,0.0012872521987362074,0.0015333042442503618,-2.603983807739545e-06
127.689,0.10666434630781424,-0.08927754847606179,8.109031215609766,0.0012872592001068497,0.0015333166878377564,-2.6025001143454025e-06
127.694,0.10666472332321787,-0.08927794149147547,8.10903137246569,0.0012872531377500762,0.001533315751822605,-2.599428340577376e-06
127.699,0.10666504576680863,-0.08927761183327415,8.109031204042667,0.0012872601390634911,0.001533328193738335,-2.597947019289459e-06
127.704,0.10666542280627986,-0.08927800484306295,8.109031360854056,0.0012872540762801957,0.0015333272576952316,-2.5948776097800258e-06
127.709,0.10666574524952195,-0.08927767517596037,8.109031192432115,0.0012872610745301007,0.0015333396993599086,-2.593398399332595e-06
127.714,0.10666612225927567,-0.0892780681748248,8.109031349265507,0.0012872550146123649,0.0015333387618056945,-2.5903315005675205e-06
127.719,0.10666644466348606,-0.08927773849847018,8.109031180830156,0.0012872620132759402,0.001533351202725908,-2.5888545167483736e-06
127.724,0.10666682165700857,-0.08927813149065753,8.109031337688627,0.001287255950307068,0.001533350264180784,-2.5857899316827847e-06
127.729,0.10666714406140519,-0.08927780180133967,8.109031169220765,0.0012872629509186968,0.0015333627045250068,-2.5843153433653565e-06
127.734,0.10666752102154788,-0.08927819479132777,8.109031326063139,0.0012872568872326381,0.0015333617651148233,-2.5812529888565967e-06
127.739,0.10666784341749719,-0.08927786509510396,8.109031157635151,0.0012872638896035634,0.0015333742043924267,-2.579780669451906e-06
127.744,0.10666822039030174,-0.0892782580854494,8.109031314431249,0.001287257822463984,0.0015333732650043815,-2.5767207456458677e-06
127.749,0.10666854276834283,-0.08927792837773496,8.109031145982836,0.0012872648239653924,0.0015333857031325164,-2.575250701000247e-06
127.754,0.10666891971056348,-0.08927832134519907,8.109031302831243,0.0012872587610415977,0.0015333847623451293,-2.5721930801511615e-06
127.759,0.10666924208795533,-0.08927799163175508,8.109031134381476,0.001287265761725646,0.0015333972000507498,-2.5707253671720875e-06
127.764,0.10666961900788736,-0.08927838460199418,8.109031291212293,0.001287259694405418,0.0015333962588021672,-2.5676699588325814e-06
127.769,0.10666994133295017,-0.08927805488565177,8.10903112283391,0.0012872666962565496,0.001533408695432261,-2.5662045035904307e-06
