Time,Joint Name,Position,Velocity,Effort
199.903,gripper_finger_joint,6.557642313609335e-07,0.0003220731861248435,0.0
199.903,gripper_robotiq_85_left_finger_tip_joint,1.9013840084625144e-06,0.0,0.0
199.903,gripper_robotiq_85_left_inner_knuckle_joint,-2.6515478230848544e-05,0.0009255752450166477,0.0
199.903,gripper_robotiq_85_right_finger_tip_joint,-1.0893547015555782e-06,0.0,0.0
199.903,gripper_robotiq_85_right_inner_knuckle_joint,1.6096792618824907e-05,-0.0009255726689547309,0.0
199.903,gripper_robotiq_85_right_knuckle_joint,6.559695489016804e-07,-0.0009255717919869304,0.0
199.903,sensor_measurment_joint,-3.1765299812747116e-07,-8.17012367414744e-05,0.0
199.903,ur5_elbow_joint,0.8266787716483313,0.00019236672980129738,-21.988689554354643
199.903,ur5_shoulder_lift_joint,-0.8288474110142481,-0.0002672451817576293,-51.11607413860654
199.903,ur5_shoulder_pan_joint,-0.09858722881796833,8.39024971996782e-05,0.019120411808591274
199.903,ur5_wrist_1_joint,-1.8403799992109322,-0.0002658114655594293,-2.807625938973528
199.903,ur5_wrist_2_joint,-1.6696610987520533,0.0019354966859114662,-0.15833736491450978
199.903,ur5_wrist_3_joint,0.017028795455087398,-0.002308373153073665,-0.0002894810224506976
199.927,gripper_finger_joint,6.557661746953158e-07,0.000322075140155824,0.0
199.927,gripper_robotiq_85_left_finger_tip_joint,1.9013809247070412e-06,0.0,0.0
199.927,gripper_robotiq_85_left_inner_knuckle_joint,-2.6515410874949907e-05,0.0009255756789222972,0.0
199.927,gripper_robotiq_85_right_finger_tip_joint,-1.0893605866257872e-06,0.0,0.0
199.927,gripper_robotiq_85_right_inner_knuckle_joint,1.609685719383691e-05,-0.0009255731053192819,0.0
199.927,gripper_robotiq_85_right_knuckle_joint,6.5597149934149e-07,-0.00092557223168036,0.0
199.927,sensor_measurment_joint,-3.176534857374236e-07,-8.170140393753001e-05,0.0
199.927,ur5_elbow_joint,0.8266787718517197,0.00019236648222161786,-21.98868996520004
199.927,ur5_shoulder_lift_joint,-0.8288474109866764,-0.0002672448305088722,-51.116074345444275
199.927,ur5_shoulder_pan_joint,-0.0985872288097065,8.390290018649097e-05,0.019120518000897594
199.927,ur5_wrist_1_joint,-1.8403802657166297,-0.0002658112760141391,-2.8076262872985707
199.927,ur5_wrist_2_joint,-1.6696611127237926,0.0019354985185487126,-0.15833737513930835
199.927,ur5_wrist_3_joint,0.017031430787485036,-0.002308641797514845,-0.0002895665190331051
199.952,gripper_finger_joint,-7.135836197491585e-07,0.0002982565837126472,0.0
199.952,gripper_robotiq_85_left_finger_tip_joint,-2.1352393861917562e-06,0.0,0.0
199.952,gripper_robotiq_85_left_inner_knuckle_joint,2.6211263767450532e-05,0.00021991768289677057,0.0
199.952,gripper_robotiq_85_right_finger_tip_joint,2.10869007499781e-06,0.0,0.0
199.952,gripper_robotiq_85_right_inner_knuckle_joint,-1.5514656798387705e-05,-0.00021991639807933053,0.0
199.952,gripper_robotiq_85_right_knuckle_joint,-7.233374903492518e-07,-0.00021991496694261466,0.0
199.952,sensor_measurment_joint,-3.347380843621295e-07,-1.70865648622542e-05,0.0
199.952,ur5_elbow_joint,0.8266787720987541,4.3416263297593695e-08,-21.996770105252747
199.952,ur5_shoulder_lift_joint,-0.8288474572876376,-4.632659164791875e-05,-50.99723822992967
199.952,ur5_shoulder_pan_joint,-0.09858721720320585,1.1599787381678987e-05,-0.01709602590769096
199.952,ur5_wrist_1_joint,-1.8403805809168947,-4.8706883735783416e-05,-2.8069522786391534
199.952,ur5_wrist_2_joint,-1.669660644779956,0.00048191704458692253,-0.16366009032579773
199.952,ur5_wrist_3_joint,0.017033646040929717,-0.0004137597634527772,0.00027050833037184065
199.976,gripper_finger_joint,-7.135848747452656e-07,0.0002982578219097444,0.0
199.976,gripper_robotiq_85_left_finger_tip_joint,-2.1352373407168557e-06,0.0,0.0
199.976,gripper_robotiq_85_left_inner_knuckle_joint,2.621120355872364e-05,0.00021991778140684033,0.0
199.976,gripper_robotiq_85_right_finger_tip_joint,2.108701711911465e-06,0.0,0.0
199.976,gripper_robotiq_85_right_inner_knuckle_joint,-1.55147190072924e-05,-0.00021991649920432305,0.0
199.976,gripper_robotiq_85_right_knuckle_joint,-7.233390721950173e-07,-0.000219915071548551,0.0
199.976,sensor_measurment_joint,-3.3473860217014817e-07,-1.708659488216266e-05,0.0
199.976,ur5_elbow_joint,0.8266787723018263,4.3462854985268536e-08,-21.99677050633157
199.976,ur5_shoulder_lift_joint,-0.8288474572600855,-4.632661541135445e-05,-50.997238575719656
199.976,ur5_shoulder_pan_joint,-0.09858721719485608,1.1599824452830147e-05,-0.017096089255443418
199.976,ur5_wrist_1_joint,-1.8403808473976317,-4.8706532725069764e-05,-2.806952625489242
199.976,ur5_wrist_2_joint,-1.6696606587497254,0.00048191769015174944,-0.16366010566729572
199.976,ur5_wrist_3_joint,0.017036268423223255,-0.00041402403852865773,0.0002704242040568233
200.001,gripper_finger_joint,6.062566226816557e-07,-7.189762642201823e-05,0.0
200.001,gripper_robotiq_85_left_finger_tip_joint,1.1882798434115216e-06,0.0,0.0
200.001,gripper_robotiq_85_left_inner_knuckle_joint,-1.6140252991903026e-05,-0.0011464069981039218,0.0
200.001,gripper_robotiq_85_right_finger_tip_joint,-1.0300931450046846e-06,0.0,0.0
200.001,gripper_robotiq_85_right_inner_knuckle_joint,1.0040519264009617e-05,0.0011464060814152092,0.0
200.001,gripper_robotiq_85_right_knuckle_joint,6.094444149340461e-07,0.001146407477021081,0.0
