Time,Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z
166.187,-8.799886300707902,-5.736195562530332,3.051596609741984,0.11374261679850758,-0.5224434822945283,-0.2423024340817785
166.212,-8.665027664706567,-5.660750450134804,3.166586894727671,0.10870140774272057,-0.5098824484255874,-0.23139290820142297
166.237,-8.562520393661453,-5.620009055502389,3.2600282997203545,0.1061229965755015,-0.4992299133516746,-0.2239762176746828
166.262,-8.425758201053121,-5.5468157555283115,3.3687365526542368,0.10202151931477585,-0.4869588175353528,-0.2141500243084993
166.287,-8.226710142141915,-5.470723016385783,3.50346094508436,0.09683648430787195,-0.47089628882279333,-0.20052739820885523
166.313,-8.082988954299836,-5.463273372559419,3.604119417354545,0.09539669666422586,-0.4576254107386183,-0.19268184902240174
166.337,-7.989135497679175,-5.4381443127308104,3.679558018530142,0.09484248153663276,-0.448070918781433,-0.1884213474838325
166.362,-7.768935927698751,-5.342270340264167,3.8157931651429013,0.08928362233984666,-0.4315817539606922,-0.17419276809199832
166.387,-7.407838515243865,-5.250730965865466,4.017572811410518,0.08236686870755104,-0.4063950939065551,-0.1509088619515126
166.412,-7.096731397015674,-5.260372667346678,4.188628285561888,0.08078811263054893,-0.38329562635768716,-0.13433518295971567
166.437,-6.87723095656634,-5.282864979264921,4.314032663935202,0.08199338407301457,-0.3662006720941164,-0.12552963899027908
166.462,-6.684375482522241,-5.29742147147012,4.41904811338687,0.08258736020175732,-0.3509820893882498,-0.11870342235719616
166.487,-6.501483107576216,-5.3075342623465795,4.512853524831089,0.0830759951432891,-0.33658746143528073,-0.11242823225197478
166.512,-6.314495594325199,-5.310666597408129,4.60486840052567,0.08312593794465428,-0.3221550544182775,-0.10562899515457215
166.537,-6.112105059195375,-5.308014676296556,4.702364697769982,0.08271847518722855,-0.3069711107868345,-0.09757468321947158
166.562,-5.886483540645401,-5.301965304623871,4.810251053542897,0.08193370116234816,-0.29055071929241455,-0.08787436854496912
166.587,-5.634053804257374,-5.295946327548135,4.930699479068606,0.08094306127306103,-0.2726430701262693,-0.0764986679051523
166.612,-5.356339949629879,-5.293900514021096,5.0627317171379325,0.07998762301087184,-0.2533235913687088,-0.0637794277385749
166.637,-5.0606816112208,-5.299968927382415,5.202048491239964,0.0793532184047932,-0.23300071662831856,-0.050425526927342056
166.662,-4.760982456046483,-5.318217417988716,5.340709836866807,0.07936551660506909,-0.21249724923178778,-0.03752743739187917
166.687,-4.532421112198589,-5.383425211152642,5.438017962723778,0.08193146882823585,-0.1959041218257122,-0.030840846522575086
166.712,-4.367145185688052,-5.431363874185734,5.50107392037871,0.08493289395312327,-0.18372186413425862,-0.02844372628121465
166.737,-4.215165982469698,-5.466464805252568,5.552662543926047,0.08676211907019864,-0.17252288745763855,-0.026256163953189575
166.762,-4.0751054456191484,-5.496917880537862,5.596268234926573,0.08839610862270256,-0.16221124707392862,-0.02424170648189862
166.787,-1.4937787104232023,1.7104615693384015,5.204309439499759,-0.06861827091914145,-0.06123382488817103,-0.010906818193569253
166.812,3.7450167029312325,-22.197279436697357,-14.15402524390533,1.3547973627087724,0.5133749861549195,0.25577162306659074
166.837,-1.142252110313386,-7.2075221070451105,-16.264078274512606,0.8101392288001064,0.050912497193564145,0.15287731781637653
166.862,-0.5245376786386746,-7.674022470007941,-16.093856388669135,0.560749458098762,0.08737102485108833,0.14012683187002675
166.887,-0.4525991590263372,-7.840331947989318,-15.789456013067094,0.607742993399736,0.09225114930564857,0.14147326367280058
166.912,-0.6446016016481262,-8.019473893434611,-15.422486406137818,0.6054253359368152,0.07500193323324993,0.1373944245618317
166.937,-0.9054911342638121,-8.309002363204542,-15.0524579375077,0.618924959420832,0.050557932412736345,0.1324103070115302
166.962,-1.1686965640051419,-8.600066723154908,-14.705875644450947,0.6330415978442329,0.02512616490921102,0.12730692425016504
166.987,-1.4116310792825157,-8.88952596038728,-14.393854973365164,0.647506445191398,0.000819345537271983,0.12248502767654652
167.012,-1.6271040954904612,-9.171710878589762,-14.125809150559029,0.6628724036604783,-0.0216964922550548,0.11806856152164369
167.037,-1.8162862438708303,-9.428491772876445,-13.889309038759029,0.6766105869197251,-0.042384828297668764,0.11399819264926991
167.062,-1.9798894789739383,-9.684974799647579,-13.69226014628667,0.6913611952224977,-0.06128736764743297,0.11033252152508487
167.088,-2.122781525637275,-9.908323388656445,-13.516022169455304,0.7038996754431381,-0.07871737773604273,0.1069109564629907
167.112,-2.2449952780820173,-10.14152679876812,-13.372250705939614,0.7177805120401722,-0.09468854551181524,0.10384013614018735
167.137,-2.352691293997763,-10.334902449754546,-13.239013665980023,0.7279811970179544,-0.10959799460939706,0.10091967829169747
167.162,-2.4424498740300997,-10.55247225803922,-13.136002083818441,0.7432073445562811,-0.12331275455867935,0.09830236869324348
167.187,-2.522565105926502,-10.730397749501837,-13.037957461513935,0.7532839378644608,-0.13627179214588264,0.09577002442449882
167.212,-2.5887692557701625,-10.925417603750498,-12.961005117863204,0.7641883301874298,-0.14826636265765405,0.09350631638373351
167.237,-2.6467460287827613,-11.09335804562789,-12.89112680327977,0.7761139067333481,-0.15970045824315954,0.09128748517350847
167.262,-2.693143207794689,-11.279420759796286,-12.8388475317977,0.7878110524114742,-0.17034634018150002,0.08930041303268534
167.287,-2.734286169310837,-11.43467994420532,-12.789019274929336,0.7981906735443464,-0.18056361645655375,0.0873471733456759
167.312,-2.7653878535716627,-11.607432538867263,-12.754150799057282,0.8080444040168063,-0.19012594863983076,0.08559499918636812
167.337,-2.7922787153879485,-11.760149328266406,-12.724494162639232,0.8198729166805487,-0.19937338890729756,0.08386121247139558
167.362,-2.810079033244618,-11.92932612376958,-12.707878114745132,0.8318617339920763,-0.20806124465862041,0.08230413266512979
167.387,-2.8266353338513177,-12.070253083327076,-12.690789594151486,0.8398854532839937,-0.216535186020305,0.08076713256427194
167.412,-2.8341803532320156,-12.234805103684607,-12.6890301254109,0.8508642530592655,-0.22451916689118062,0.07938459043314788
167.437,-2.8402916384125363,-12.380691879555584,-12.69017927643594,0.8640335953592077,-0.23232801694340116,0.07801327265604818
167.462,-2.839262420265032,-12.543416709702639,-12.702600411197079,0.8742114284008127,-0.23972886625496456,0.07679207245987879
167.487,-2.83851125214041,-12.68354186485491,-12.715095498019446,0.8851275208258368,-0.24703260538023494,0.07557196778081812
167.512,-2.829619280038262,-12.846883715374986,-12.741710853769433,0.8976383734826935,-0.25393883333896755,0.07450375093097301
167.537,-2.823079107896758,-12.985241800703285,-12.766317802356543,0.9088228499865956,-0.2608387488201095,0.07341491778063805
167.565,-2.8078543041226185,-13.152942966068938,-12.80759134538254,0.919879451413041,-0.26731294538189915,0.07250614181762216
167.587,-2.7970118453178694,-13.289633240327273,-12.843443197884119,0.9312891655807118,-0.27391508206455173,0.07153215270119472
